date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:35:05	16008/16008	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202025%2009:35:05%20GMT	https://bodaericyjudith.com/	C:/My%20Web%20Sites/boda-eric-judith/bodaericyjudith.com/index.html	(from )
11:35:05	232803/232803	---MCZ	200	added ('OK')	text/css	etag:W/%2238d63-xawd7pYctZoEUlbsID9p4xeHL3w%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/boda-eric-judith/cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/css/bootstrap.min.css	(from https://bodaericyjudith.com/)
11:35:05	11652/11652	---MCZ	200	added ('OK')	text/css	etag:W/%226775b4d8-2d84%22	https://bodaericyjudith.com/public/css/main.css?rand=110240937	C:/My%20Web%20Sites/boda-eric-judith/bodaericyjudith.com/public/css/main534c.css	(from https://bodaericyjudith.com/)
11:35:06	7696/7696	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5e-1e10%22	https://cdnjs.cloudflare.com/ajax/libs/flipclock/0.7.8/flipclock.min.css	C:/My%20Web%20Sites/boda-eric-judith/cdnjs.cloudflare.com/ajax/libs/flipclock/0.7.8/flipclock.min.css	(from https://bodaericyjudith.com/)
11:35:06	16611/16611	---MCZ	200	added ('OK')	text/css	etag:W/%22684317de-40e3%22	https://cdn.datatables.net/1.11.5/css/jquery.dataTables.css	C:/My%20Web%20Sites/boda-eric-judith/cdn.datatables.net/1.11.5/css/jquery.dataTables.css	(from https://bodaericyjudith.com/)
11:35:06	24714/24714	---M--	200	added ('OK')	image/png	etag:%2266a68c35-608a%22	https://bodaericyjudith.com/public/images/logo.png	C:/My%20Web%20Sites/boda-eric-judith/bodaericyjudith.com/public/images/logo.png	(from https://bodaericyjudith.com/)
11:35:06	11569/11569	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202025%2009:35:07%20GMT	https://bodaericyjudith.com/nuestra-historia	C:/My%20Web%20Sites/boda-eric-judith/bodaericyjudith.com/nuestra-historia.html	(from https://bodaericyjudith.com/)
11:35:07	10003/10003	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202025%2009:35:07%20GMT	https://bodaericyjudith.com/viaje-estadia	C:/My%20Web%20Sites/boda-eric-judith/bodaericyjudith.com/viaje-estadia.html	(from https://bodaericyjudith.com/)
11:35:07	24306/24306	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202025%2009:35:07%20GMT	https://bodaericyjudith.com/lista-regalos	C:/My%20Web%20Sites/boda-eric-judith/bodaericyjudith.com/lista-regalos.html	(from https://bodaericyjudith.com/)
11:35:07	28818/28818	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202025%2009:35:08%20GMT	https://bodaericyjudith.com/festa	C:/My%20Web%20Sites/boda-eric-judith/bodaericyjudith.com/festa.html	(from https://bodaericyjudith.com/)
11:35:08	15089/15089	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202025%2009:35:08%20GMT	https://bodaericyjudith.com/confirmar-asistencia	C:/My%20Web%20Sites/boda-eric-judith/bodaericyjudith.com/confirmar-asistencia.html	(from https://bodaericyjudith.com/)
11:35:08	484962/484962	---M--	200	added ('OK')	image/png	etag:%2267cb3d44-76662%22	https://bodaericyjudith.com/public/images/Logo_bolsa_-_rosa_color_2-04.png	C:/My%20Web%20Sites/boda-eric-judith/bodaericyjudith.com/public/images/Logo_bolsa_-_rosa_color_2-04.png	(from https://bodaericyjudith.com/)
11:35:09	4151615/4151615	---M--	200	added ('OK')	image/png	etag:%226727af25-3f593f%22	https://bodaericyjudith.com/public/images/image00015.png	C:/My%20Web%20Sites/boda-eric-judith/bodaericyjudith.com/public/images/image00015.png	(from https://bodaericyjudith.com/)
11:35:09	4314813/4314813	---M--	200	added ('OK')	image/jpeg	etag:%226727a1d7-41d6bd%22	https://bodaericyjudith.com/public/images/home-camina.jpeg	C:/My%20Web%20Sites/boda-eric-judith/bodaericyjudith.com/public/images/home-camina.jpg	(from https://bodaericyjudith.com/)
11:35:09	3413/3413	---M--	200	added ('OK')	image/png	etag:%2267697a72-d55%22	https://bodaericyjudith.com/public/images/boombons.png	C:/My%20Web%20Sites/boda-eric-judith/bodaericyjudith.com/public/images/boombons.png	(from https://bodaericyjudith.com/)
11:35:09	2390464/2390464	---M--	200	added ('OK')	image/jpeg	etag:%22674c9e2f-2479c0%22	https://bodaericyjudith.com/public/images/fondo_8_slider.jpeg	C:/My%20Web%20Sites/boda-eric-judith/bodaericyjudith.com/public/images/fondo_8_slider.jpg	(from https://bodaericyjudith.com/)
11:35:09	2525915/2525915	---M--	200	added ('OK')	image/png	etag:%22674ca517-268adb%22	https://bodaericyjudith.com/public/images/fondo_8.png	C:/My%20Web%20Sites/boda-eric-judith/bodaericyjudith.com/public/images/fondo_8.png	(from https://bodaericyjudith.com/)
11:35:10	10518/10518	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202025%2009:35:10%20GMT	https://bodaericyjudith.com/contacto	C:/My%20Web%20Sites/boda-eric-judith/bodaericyjudith.com/contacto.html	(from https://bodaericyjudith.com/)
11:35:10	80721/80721	---MCZ	200	added ('OK')	application/javascript	etag:W/%2213b51-3cbp6tbRaukjc5nOQejBYgzFnDY%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/boda-eric-judith/cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js	(from https://bodaericyjudith.com/)
11:35:10	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:%22603e8adc-15d9d%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js	C:/My%20Web%20Sites/boda-eric-judith/cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js	(from https://bodaericyjudith.com/)
11:35:10	20852/20852	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e5e-5174%22	https://cdnjs.cloudflare.com/ajax/libs/flipclock/0.7.8/flipclock.min.js	C:/My%20Web%20Sites/boda-eric-judith/cdnjs.cloudflare.com/ajax/libs/flipclock/0.7.8/flipclock.min.js	(from https://bodaericyjudith.com/)
11:35:11	241/241	---M--	200	added ('OK')	application/javascript	etag:%226727c2af-f1%22	https://bodaericyjudith.com/public/js/flipclock.ca.js	C:/My%20Web%20Sites/boda-eric-judith/bodaericyjudith.com/public/js/flipclock.ca.js	(from https://bodaericyjudith.com/)
11:35:11	453199/453199	---MCZ	200	added ('OK')	text/javascript	etag:W/%226827198a-6ea4f%22	https://cdn.datatables.net/1.11.5/js/jquery.dataTables.js	C:/My%20Web%20Sites/boda-eric-judith/cdn.datatables.net/1.11.5/js/jquery.dataTables.js	(from https://bodaericyjudith.com/)
11:35:11	1424573/1424573	---M--	200	added ('OK')	image/png	etag:%226727a813-15bcbd%22	https://bodaericyjudith.com/public/images/portada-eric.png	C:/My%20Web%20Sites/boda-eric-judith/bodaericyjudith.com/public/images/portada-eric.png	(from https://bodaericyjudith.com/public/css/main.css?rand=110240937)
11:35:12	313093/313093	---M--	200	added ('OK')	image/jpeg	etag:%226775b4a3-4c705%22	https://bodaericyjudith.com/public/images/fondo-video-recortado.jpg	C:/My%20Web%20Sites/boda-eric-judith/bodaericyjudith.com/public/images/fondo-video-recortado.jpg	(from https://bodaericyjudith.com/public/css/main.css?rand=110240937)
11:35:12	3330074/3330074	---M--	200	added ('OK')	image/jpeg	etag:%22674c9e2f-32d01a%22	https://bodaericyjudith.com/public/images/fondo_5.jpeg	C:/My%20Web%20Sites/boda-eric-judith/bodaericyjudith.com/public/images/fondo_5.jpg	(from https://bodaericyjudith.com/public/css/main.css?rand=110240937)
11:35:13	201/201	---MC-	200	added ('OK')	image/png	etag:W/%2267adbff8-c9%22	https://cdn.datatables.net/1.11.5/images/sort_both.png	C:/My%20Web%20Sites/boda-eric-judith/cdn.datatables.net/1.11.5/images/sort_both.png	(from https://cdn.datatables.net/1.11.5/css/jquery.dataTables.css)
